频繁模式：1,2, 支持度为：35117
频繁模式：2,1, 支持度为：34607
频繁模式：1,2,3, 支持度为：12735
频繁模式：1,3,2, 支持度为：11261
频繁模式：2,3,1, 支持度为：10754
频繁模式：2,1,3, 支持度为：10707
频繁模式：3,1,2, 支持度为：11336
频繁模式：3,2,1, 支持度为：12221
频繁模式：1,2,3,4, 支持度为：3797
频繁模式：1,2,4,3, 支持度为：3592
频繁模式：1,3,4,2, 支持度为：2743
频繁模式：2,3,4,1, 支持度为：2432
频繁模式：1,3,2,4, 支持度为：3180
频繁模式：1,4,2,3, 支持度为：2479
频繁模式：1,4,3,2, 支持度为：2472
频繁模式：2,4,3,1, 支持度为：2981
频繁模式：2,3,1,4, 支持度为：2561
频繁模式：2,4,1,3, 支持度为：2323
频繁模式：3,4,1,2, 支持度为：2612
频繁模式：3,4,2,1, 支持度为：3132
频繁模式：2,1,3,4, 支持度为：3073
频繁模式：2,1,4,3, 支持度为：2599
频繁模式：3,1,4,2, 支持度为：2370
频繁模式：3,2,4,1, 支持度为：2513
频繁模式：3,1,2,4, 支持度为：3017
频繁模式：4,1,2,3, 支持度为：2650
频繁模式：4,1,3,2, 支持度为：2587
频繁模式：4,2,3,1, 支持度为：2934
频繁模式：3,2,1,4, 支持度为：2362
频繁模式：4,2,1,3, 支持度为：2440
频繁模式：4,3,1,2, 支持度为：3794
频繁模式：4,3,2,1, 支持度为：3459
频繁模式：1,2,3,4,5, 支持度为：1150
频繁模式：1,2,3,5,4, 支持度为：983
频繁模式：1,2,4,5,3, 支持度为：671
频繁模式：1,3,4,5,2, 支持度为：502
频繁模式：2,3,4,5,1, 支持度为：428
频繁模式：1,2,4,3,5, 支持度为：1036
频繁模式：1,2,5,3,4, 支持度为：639
频繁模式：1,2,5,4,3, 支持度为：636
频繁模式：1,3,5,4,2, 支持度为：597
频繁模式：2,3,5,4,1, 支持度为：631
频繁模式：1,3,4,2,5, 支持度为：755
频繁模式：1,3,5,2,4, 支持度为：533
频繁模式：1,4,5,2,3, 支持度为：447
频繁模式：1,4,5,3,2, 支持度为：448
频繁模式：2,4,5,3,1, 支持度为：523
频繁模式：2,3,4,1,5, 支持度为：442
频繁模式：2,3,5,1,4, 支持度为：426
频繁模式：2,4,5,1,3, 支持度为：440
频繁模式：3,4,5,1,2, 支持度为：506
频繁模式：3,4,5,2,1, 支持度为：584
频繁模式：1,3,2,4,5, 支持度为：816
频繁模式：1,3,2,5,4, 支持度为：737
频繁模式：1,4,2,5,3, 支持度为：555
频繁模式：1,4,3,5,2, 支持度为：570
频繁模式：2,4,3,5,1, 支持度为：448
频繁模式：1,4,2,3,5, 支持度为：574
频繁模式：1,5,2,3,4, 支持度为：472
频繁模式：1,5,2,4,3, 支持度为：437
频繁模式：1,5,3,4,2, 支持度为：461
频繁模式：2,5,3,4,1, 支持度为：482
频繁模式：1,4,3,2,5, 支持度为：599
频繁模式：1,5,3,2,4, 支持度为：416
频繁模式：1,5,4,2,3, 支持度为：474
频繁模式：1,5,4,3,2, 支持度为：466
频繁模式：2,5,4,3,1, 支持度为：484
频繁模式：2,4,3,1,5, 支持度为：398
频繁模式：2,5,3,1,4, 支持度为：468
频繁模式：2,5,4,1,3, 支持度为：544
频繁模式：3,5,4,1,2, 支持度为：895
频繁模式：3,5,4,2,1, 支持度为：637
频繁模式：2,3,1,4,5, 支持度为：652
频繁模式：2,3,1,5,4, 支持度为：519
频繁模式：2,4,1,5,3, 支持度为：494
频繁模式：3,4,1,5,2, 支持度为：393
频繁模式：3,4,2,5,1, 支持度为：454
频繁模式：2,4,1,3,5, 支持度为：541
频繁模式：2,5,1,3,4, 支持度为：391
频繁模式：2,5,1,4,3, 支持度为：450
频繁模式：3,5,1,4,2, 支持度为：444
频繁模式：3,5,2,4,1, 支持度为：460
频繁模式：3,4,1,2,5, 支持度为：516
频繁模式：3,5,1,2,4, 支持度为：442
频繁模式：4,5,1,2,3, 支持度为：499
频繁模式：4,5,1,3,2, 支持度为：514
频繁模式：4,5,2,3,1, 支持度为：601
频繁模式：3,4,2,1,5, 支持度为：461
频繁模式：3,5,2,1,4, 支持度为：416
频繁模式：4,5,2,1,3, 支持度为：521
频繁模式：4,5,3,1,2, 支持度为：917
频繁模式：4,5,3,2,1, 支持度为：754
频繁模式：2,1,3,4,5, 支持度为：813
频繁模式：2,1,3,5,4, 支持度为：810
频繁模式：2,1,4,5,3, 支持度为：520
频繁模式：3,1,4,5,2, 支持度为：457
频繁模式：3,2,4,5,1, 支持度为：422
频繁模式：2,1,4,3,5, 支持度为：653
频繁模式：2,1,5,3,4, 支持度为：504
频繁模式：2,1,5,4,3, 支持度为：478
频繁模式：3,1,5,4,2, 支持度为：416
频繁模式：3,2,5,4,1, 支持度为：506
频繁模式：3,1,4,2,5, 支持度为：495
频繁模式：3,1,5,2,4, 支持度为：412
频繁模式：4,1,5,2,3, 支持度为：429
频繁模式：4,1,5,3,2, 支持度为：440
频繁模式：4,2,5,3,1, 支持度为：545
频繁模式：3,2,4,1,5, 支持度为：489
频繁模式：3,2,5,1,4, 支持度为：411
频繁模式：4,2,5,1,3, 支持度为：414
频繁模式：4,3,5,1,2, 支持度为：484
频繁模式：4,3,5,2,1, 支持度为：676
频繁模式：3,1,2,4,5, 支持度为：749
频繁模式：3,1,2,5,4, 支持度为：657
频繁模式：4,1,2,5,3, 支持度为：564
频繁模式：4,1,3,5,2, 支持度为：519
频繁模式：4,2,3,5,1, 支持度为：486
频繁模式：4,1,2,3,5, 支持度为：531
频繁模式：5,1,2,3,4, 支持度为：488
频繁模式：5,1,2,4,3, 支持度为：515
频繁模式：5,1,3,4,2, 支持度为：517
频繁模式：5,2,3,4,1, 支持度为：550
频繁模式：4,1,3,2,5, 支持度为：465
频繁模式：5,1,3,2,4, 支持度为：486
频繁模式：5,1,4,2,3, 支持度为：465
频繁模式：5,1,4,3,2, 支持度为：470
频繁模式：5,2,4,3,1, 支持度为：659
频繁模式：4,2,3,1,5, 支持度为：386
频繁模式：5,2,3,1,4, 支持度为：435
频繁模式：5,2,4,1,3, 支持度为：505
频繁模式：5,3,4,1,2, 支持度为：693
频繁模式：5,3,4,2,1, 支持度为：856
频繁模式：3,2,1,4,5, 支持度为：577
频繁模式：3,2,1,5,4, 支持度为：512
频繁模式：4,2,1,5,3, 支持度为：382
频繁模式：4,3,1,5,2, 支持度为：399
频繁模式：4,3,2,5,1, 支持度为：447
频繁模式：4,2,1,3,5, 支持度为：518
频繁模式：5,2,1,3,4, 支持度为：450
频繁模式：5,2,1,4,3, 支持度为：406
频繁模式：5,3,1,4,2, 支持度为：484
频繁模式：5,3,2,4,1, 支持度为：543
频繁模式：4,3,1,2,5, 支持度为：584
频繁模式：5,3,1,2,4, 支持度为：757
频繁模式：5,4,1,2,3, 支持度为：805
频繁模式：5,4,1,3,2, 支持度为：704
频繁模式：5,4,2,3,1, 支持度为：889
频繁模式：4,3,2,1,5, 支持度为：421
频繁模式：5,3,2,1,4, 支持度为：441
频繁模式：5,4,2,1,3, 支持度为：567
频繁模式：5,4,3,1,2, 支持度为：913
频繁模式：5,4,3,2,1, 支持度为：1060
频繁模式：1,2,3,4,5,6, 支持度为：401
频繁模式：1,2,3,4,6,5, 支持度为：292
频繁模式：1,2,3,5,6,4, 支持度为：142
频繁模式：1,2,4,5,6,3, 支持度为：120
频繁模式：1,3,4,5,6,2, 支持度为：92
频繁模式：2,3,4,5,6,1, 支持度为：81
频繁模式：1,2,3,5,4,6, 支持度为：300
频繁模式：1,2,3,6,4,5, 支持度为：153
频繁模式：1,2,3,6,5,4, 支持度为：137
频繁模式：1,2,4,6,5,3, 支持度为：113
频繁模式：1,3,4,6,5,2, 支持度为：132
频繁模式：2,3,4,6,5,1, 支持度为：132
频繁模式：1,2,4,5,3,6, 支持度为：211
频繁模式：1,2,4,6,3,5, 支持度为：105
频繁模式：1,2,5,6,3,4, 支持度为：87
频繁模式：1,2,5,6,4,3, 支持度为：91
频繁模式：1,3,5,6,4,2, 支持度为：81
频繁模式：2,3,5,6,4,1, 支持度为：85
频繁模式：1,3,4,5,2,6, 支持度为：98
频繁模式：1,3,5,6,2,4, 支持度为：92
频繁模式：2,4,5,6,3,1, 支持度为：83
频繁模式：3,4,5,6,2,1, 支持度为：93
频繁模式：1,2,4,3,5,6, 支持度为：311
频繁模式：1,2,4,3,6,5, 支持度为：226
频繁模式：1,2,5,3,6,4, 支持度为：146
频繁模式：1,2,5,4,6,3, 支持度为：161
频繁模式：1,3,5,4,6,2, 支持度为：99
频繁模式：2,3,5,4,6,1, 支持度为：80
频繁模式：1,2,5,3,4,6, 支持度为：173
频繁模式：1,2,6,3,4,5, 支持度为：96
频繁模式：1,2,6,3,5,4, 支持度为：97
频繁模式：1,2,6,4,5,3, 支持度为：95
频繁模式：1,3,6,4,5,2, 支持度为：85
频繁模式：1,2,5,4,3,6, 支持度为：150
频繁模式：1,2,6,4,3,5, 支持度为：84
频繁模式：1,2,6,5,3,4, 支持度为：91
频繁模式：1,2,6,5,4,3, 支持度为：121
频繁模式：1,3,6,5,4,2, 支持度为：84
频繁模式：2,3,6,5,4,1, 支持度为：94
频繁模式：1,3,6,4,2,5, 支持度为：109
频繁模式：1,3,6,5,2,4, 支持度为：139
频繁模式：1,4,6,5,2,3, 支持度为：126
频繁模式：1,4,6,5,3,2, 支持度为：85
频繁模式：2,3,6,4,1,5, 支持度为：86
频繁模式：2,4,6,5,1,3, 支持度为：106
频繁模式：3,4,6,5,1,2, 支持度为：167
频繁模式：3,4,6,5,2,1, 支持度为：124
频繁模式：1,3,4,2,5,6, 支持度为：208
频繁模式：1,3,4,2,6,5, 支持度为：121
频繁模式：1,3,5,2,6,4, 支持度为：137
频繁模式：1,4,5,2,6,3, 支持度为：89
频繁模式：1,4,5,3,6,2, 支持度为：112
频繁模式：1,3,5,2,4,6, 支持度为：132
频繁模式：1,3,6,2,5,4, 支持度为：110
频繁模式：1,4,5,2,3,6, 支持度为：93
频繁模式：1,5,6,3,4,2, 支持度为：82
频繁模式：1,4,5,3,2,6, 支持度为：83
频繁模式：2,4,6,3,1,5, 支持度为：86
频繁模式：2,5,6,4,1,3, 支持度为：86
频繁模式：3,5,6,4,1,2, 支持度为：102
频繁模式：3,5,6,4,2,1, 支持度为：105
频繁模式：2,3,4,1,5,6, 支持度为：94
频繁模式：2,3,4,1,6,5, 支持度为：98
频繁模式：2,3,5,1,4,6, 支持度为：100
频繁模式：2,3,6,1,4,5, 支持度为：83
频繁模式：4,5,6,1,2,3, 支持度为：87
频繁模式：4,5,6,1,3,2, 支持度为：81
频繁模式：4,5,6,2,3,1, 支持度为：115
频繁模式：4,5,6,2,1,3, 支持度为：88
频繁模式：4,5,6,3,1,2, 支持度为：147
频繁模式：4,5,6,3,2,1, 支持度为：135
频繁模式：1,3,2,4,5,6, 支持度为：219
频繁模式：1,3,2,4,6,5, 支持度为：229
频繁模式：1,3,2,5,6,4, 支持度为：117
频繁模式：1,4,2,5,6,3, 支持度为：93
频繁模式：2,4,3,5,6,1, 支持度为：86
频繁模式：1,3,2,5,4,6, 支持度为：198
频繁模式：1,3,2,6,4,5, 支持度为：128
频繁模式：1,3,2,6,5,4, 支持度为：137
频繁模式：1,4,2,6,5,3, 支持度为：88
频繁模式：1,4,3,6,5,2, 支持度为：81
频繁模式：2,4,3,6,5,1, 支持度为：91
频繁模式：1,4,2,5,3,6, 支持度为：131
频繁模式：1,4,2,6,3,5, 支持度为：82
频繁模式：1,5,2,6,3,4, 支持度为：89
频繁模式：2,5,3,6,4,1, 支持度为：98
频繁模式：1,4,3,5,2,6, 支持度为：126
频繁模式：1,4,3,6,2,5, 支持度为：97
频繁模式：1,5,3,6,2,4, 支持度为：83
频繁模式：2,5,4,6,3,1, 支持度为：109
频繁模式：3,5,4,6,1,2, 支持度为：82
频繁模式：3,5,4,6,2,1, 支持度为：106
频繁模式：1,4,2,3,5,6, 支持度为：134
频繁模式：1,4,2,3,6,5, 支持度为：136
频繁模式：2,5,3,4,6,1, 支持度为：81
频繁模式：1,5,2,3,4,6, 支持度为：87
频繁模式：1,6,2,3,4,5, 支持度为：80
频繁模式：2,6,3,4,5,1, 支持度为：82
频繁模式：1,5,2,4,3,6, 支持度为：82
频繁模式：1,6,4,5,3,2, 支持度为：85
频繁模式：2,6,4,5,3,1, 支持度为：81
频繁模式：3,6,4,5,1,2, 支持度为：103
频繁模式：3,6,4,5,2,1, 支持度为：95
频繁模式：1,4,3,2,5,6, 支持度为：136
频繁模式：1,4,3,2,6,5, 支持度为：124
频繁模式：1,5,3,2,6,4, 支持度为：80
频繁模式：1,5,4,2,6,3, 支持度为：87
频繁模式：1,5,4,3,6,2, 支持度为：91
频繁模式：1,5,3,2,4,6, 支持度为：99
频繁模式：1,5,4,2,3,6, 支持度为：91
频繁模式：2,6,5,3,4,1, 支持度为：91
频繁模式：1,6,5,4,2,3, 支持度为：85
频繁模式：1,6,5,4,3,2, 支持度为：80
频繁模式：2,6,5,4,3,1, 支持度为：105
频繁模式：3,6,5,4,1,2, 支持度为：99
频繁模式：3,6,5,4,2,1, 支持度为：115
频繁模式：2,4,3,1,5,6, 支持度为：105
频繁模式：2,5,3,1,4,6, 支持度为：80
频繁模式：3,6,4,1,5,2, 支持度为：80
频繁模式：3,6,4,2,5,1, 支持度为：87
频繁模式：2,6,4,1,3,5, 支持度为：91
频繁模式：2,6,5,1,3,4, 支持度为：83
频繁模式：3,6,5,1,4,2, 支持度为：105
频繁模式：3,6,5,2,4,1, 支持度为：110
频繁模式：3,5,4,1,2,6, 支持度为：87
频繁模式：3,6,4,1,2,5, 支持度为：113
频繁模式：3,6,5,1,2,4, 支持度为：127
频繁模式：4,6,5,1,2,3, 支持度为：173
频繁模式：4,6,5,1,3,2, 支持度为：164
频繁模式：4,6,5,2,3,1, 支持度为：217
频繁模式：4,6,5,2,1,3, 支持度为：107
频繁模式：4,6,5,3,1,2, 支持度为：145
频繁模式：4,6,5,3,2,1, 支持度为：158
频繁模式：2,3,1,4,5,6, 支持度为：144
频繁模式：2,3,1,4,6,5, 支持度为：176
频繁模式：2,3,1,5,6,4, 支持度为：98
频繁模式：2,4,1,5,6,3, 支持度为：89
频繁模式：2,3,1,5,4,6, 支持度为：116
频繁模式：2,3,1,6,4,5, 支持度为：95
频繁模式：2,3,1,6,5,4, 支持度为：95
频繁模式：3,4,2,6,5,1, 支持度为：81
频繁模式：2,4,1,5,3,6, 支持度为：103
频繁模式：2,4,1,6,3,5, 支持度为：91
频繁模式：3,5,2,6,4,1, 支持度为：86
频繁模式：4,5,2,6,3,1, 支持度为：93
频繁模式：4,5,3,6,2,1, 支持度为：126
频繁模式：2,4,1,3,5,6, 支持度为：131
频繁模式：2,4,1,3,6,5, 支持度为：99
频繁模式：2,5,1,3,6,4, 支持度为：92
频繁模式：2,5,1,3,4,6, 支持度为：90
频繁模式：2,5,1,4,3,6, 支持度为：90
频繁模式：2,6,1,4,3,5, 支持度为：94
频繁模式：4,6,2,5,3,1, 支持度为：98
频繁模式：4,6,3,5,1,2, 支持度为：96
频繁模式：4,6,3,5,2,1, 支持度为：111
频繁模式：3,4,1,2,5,6, 支持度为：110
频繁模式：3,4,1,2,6,5, 支持度为：107
频繁模式：5,6,1,2,4,3, 支持度为：87
频繁模式：5,6,1,3,4,2, 支持度为：92
频繁模式：5,6,2,3,4,1, 支持度为：96
频繁模式：5,6,1,3,2,4, 支持度为：91
频繁模式：5,6,1,4,2,3, 支持度为：85
频繁模式：5,6,1,4,3,2, 支持度为：101
频繁模式：5,6,2,4,3,1, 支持度为：113
频繁模式：5,6,2,3,1,4, 支持度为：85
频繁模式：5,6,2,4,1,3, 支持度为：100
频繁模式：5,6,3,4,1,2, 支持度为：135
频繁模式：5,6,3,4,2,1, 支持度为：142
频繁模式：3,4,2,1,5,6, 支持度为：93
频繁模式：3,4,2,1,6,5, 支持度为：90
频繁模式：4,5,2,1,3,6, 支持度为：91
频繁模式：5,6,2,1,3,4, 支持度为：87
频繁模式：5,6,3,1,4,2, 支持度为：85
频繁模式：5,6,3,2,4,1, 支持度为：100
频繁模式：4,5,3,1,2,6, 支持度为：110
频繁模式：4,6,3,1,2,5, 支持度为：164
频繁模式：5,6,3,1,2,4, 支持度为：178
频繁模式：5,6,4,1,2,3, 支持度为：169
频繁模式：5,6,4,1,3,2, 支持度为：137
频繁模式：5,6,4,2,3,1, 支持度为：149
频繁模式：5,6,3,2,1,4, 支持度为：81
频繁模式：5,6,4,2,1,3, 支持度为：107
频繁模式：5,6,4,3,1,2, 支持度为：191
频繁模式：5,6,4,3,2,1, 支持度为：225
频繁模式：2,1,3,4,5,6, 支持度为：221
频繁模式：2,1,3,4,6,5, 支持度为：199
频繁模式：2,1,3,5,6,4, 支持度为：136
频繁模式：2,1,4,5,6,3, 支持度为：95
频繁模式：3,1,4,5,6,2, 支持度为：88
频繁模式：2,1,3,5,4,6, 支持度为：174
频繁模式：2,1,3,6,4,5, 支持度为：127
频繁模式：2,1,3,6,5,4, 支持度为：133
频繁模式：2,1,4,6,5,3, 支持度为：111
频繁模式：3,1,4,6,5,2, 支持度为：131
频繁模式：3,2,4,6,5,1, 支持度为：117
频繁模式：2,1,4,5,3,6, 支持度为：104
频繁模式：2,1,4,6,3,5, 支持度为：95
频繁模式：2,1,5,6,3,4, 支持度为：95
频繁模式：3,2,5,6,4,1, 支持度为：80
频繁模式：3,1,4,5,2,6, 支持度为：89
频繁模式：4,2,5,6,3,1, 支持度为：84
频繁模式：4,3,5,6,1,2, 支持度为：92
频繁模式：4,3,5,6,2,1, 支持度为：82
频繁模式：2,1,4,3,5,6, 支持度为：131
频繁模式：2,1,4,3,6,5, 支持度为：159
频繁模式：2,1,5,3,6,4, 支持度为：98
频繁模式：2,1,5,4,6,3, 支持度为：104
频繁模式：2,1,5,3,4,6, 支持度为：115
频繁模式：3,2,6,4,5,1, 支持度为：81
频繁模式：2,1,5,4,3,6, 支持度为：106
