频繁模式：1,2, 支持度为：8259
频繁模式：2,1, 支持度为：7681
频繁模式：1,2,3, 支持度为：3426
频繁模式：1,3,2, 支持度为：2397
频繁模式：2,3,1, 支持度为：2385
频繁模式：2,1,3, 支持度为：2368
频繁模式：3,1,2, 支持度为：2406
频繁模式：3,2,1, 支持度为：2851
频繁模式：1,2,3,4, 支持度为：1563
频繁模式：1,2,4,3, 支持度为：771
频繁模式：1,3,4,2, 支持度为：485
频繁模式：2,3,4,1, 支持度为：581
频繁模式：1,3,2,4, 支持度为：863
频繁模式：1,4,2,3, 支持度为：534
频繁模式：1,4,3,2, 支持度为：447
频繁模式：2,4,3,1, 支持度为：527
频繁模式：2,3,1,4, 支持度为：517
频繁模式：2,4,1,3, 支持度为：492
频繁模式：3,4,1,2, 支持度为：605
频繁模式：3,4,2,1, 支持度为：748
频繁模式：2,1,3,4, 支持度为：771
频繁模式：2,1,4,3, 支持度为：517
频繁模式：3,1,4,2, 支持度为：471
频繁模式：3,2,4,1, 支持度为：583
频繁模式：3,1,2,4, 支持度为：493
频繁模式：4,1,2,3, 支持度为：567
频繁模式：4,1,3,2, 支持度为：612
频繁模式：4,2,3,1, 支持度为：711
频繁模式：3,2,1,4, 支持度为：447
频繁模式：4,2,1,3, 支持度为：516
频繁模式：4,3,1,2, 支持度为：761
频繁模式：4,3,2,1, 支持度为：1104
频繁模式：1,2,3,4,5, 支持度为：833
频繁模式：1,2,3,5,4, 支持度为：328
频繁模式：1,2,4,5,3, 支持度为：166
频繁模式：1,3,4,5,2, 支持度为：128
频繁模式：2,3,4,5,1, 支持度为：95
频繁模式：1,2,4,3,5, 支持度为：323
频繁模式：1,2,5,3,4, 支持度为：125
频繁模式：1,2,5,4,3, 支持度为：127
频繁模式：1,3,5,4,2, 支持度为：104
频繁模式：2,3,5,4,1, 支持度为：83
频繁模式：1,3,4,2,5, 支持度为：129
频繁模式：1,3,5,2,4, 支持度为：86
频繁模式：1,4,5,2,3, 支持度为：82
频繁模式：1,4,5,3,2, 支持度为：78
