频繁模式：1,2, 支持度为：18241
频繁模式：2,1, 支持度为：19890
频繁模式：1,2,3, 支持度为：7802
频繁模式：1,3,2, 支持度为：2457
频繁模式：2,3,1, 支持度为：2360
频繁模式：2,1,3, 支持度为：2492
频繁模式：3,1,2, 支持度为：2245
频繁模式：3,2,1, 支持度为：8870
频繁模式：1,2,3,4, 支持度为：3712
频繁模式：1,2,4,3, 支持度为：1020
频繁模式：1,3,4,2, 支持度为：473
频繁模式：2,3,4,1, 支持度为：331
频繁模式：1,3,2,4, 支持度为：531
频繁模式：1,4,2,3, 支持度为：206
频繁模式：1,4,3,2, 支持度为：367
频繁模式：2,4,3,1, 支持度为：471
频繁模式：2,3,1,4, 支持度为：235
频繁模式：2,4,1,3, 支持度为：143
频繁模式：3,4,1,2, 支持度为：255
频繁模式：3,4,2,1, 支持度为：992
频繁模式：2,1,3,4, 支持度为：1042
频繁模式：2,1,4,3, 支持度为：342
频繁模式：3,1,4,2, 支持度为：142
频繁模式：3,2,4,1, 支持度为：229
频繁模式：3,1,2,4, 支持度为：438
频繁模式：4,1,2,3, 支持度为：285
频繁模式：4,1,3,2, 支持度为：199
频繁模式：4,2,3,1, 支持度为：423
频繁模式：3,2,1,4, 支持度为：343
频繁模式：4,2,1,3, 支持度为：468
频繁模式：4,3,1,2, 支持度为：911
频繁模式：4,3,2,1, 支持度为：4427
频繁模式：1,2,3,4,5, 支持度为：2025
频繁模式：1,2,3,5,4, 支持度为：423
频繁模式：1,2,4,5,3, 支持度为：166
频繁模式：1,2,4,3,5, 支持度为：250
频繁模式：1,2,5,4,3, 支持度为：154
频繁模式：1,3,5,4,2, 支持度为：92
频繁模式：2,4,5,3,1, 支持度为：99
频繁模式：3,4,5,2,1, 支持度为：136
频繁模式：1,3,2,4,5, 支持度为：241
频繁模式：3,5,4,2,1, 支持度为：216
频繁模式：2,3,1,4,5, 支持度为：95
频繁模式：4,5,3,1,2, 支持度为：122
频繁模式：4,5,3,2,1, 支持度为：446
频繁模式：2,1,3,4,5, 支持度为：439
频繁模式：2,1,3,5,4, 支持度为：171
频繁模式：4,3,5,2,1, 支持度为：92
频繁模式：3,1,2,4,5, 支持度为：176
频繁模式：5,3,4,2,1, 支持度为：184
频繁模式：3,2,1,4,5, 支持度为：150
频繁模式：4,2,1,3,5, 支持度为：108
频繁模式：5,3,1,2,4, 支持度为：97
频繁模式：5,4,1,2,3, 支持度为：106
频繁模式：5,4,1,3,2, 支持度为：80
频繁模式：5,4,2,3,1, 支持度为：195
频繁模式：5,4,2,1,3, 支持度为：183
频繁模式：5,4,3,1,2, 支持度为：393
频繁模式：5,4,3,2,1, 支持度为：2491
频繁模式：1,2,3,4,5,6, 支持度为：1225
频繁模式：1,2,3,4,6,5, 支持度为：196
频繁模式：1,2,3,5,4,6, 支持度为：117
频繁模式：1,2,4,3,5,6, 支持度为：129
频繁模式：1,3,2,4,5,6, 支持度为：116
频繁模式：4,6,5,3,2,1, 支持度为：115
频繁模式：5,6,4,3,2,1, 支持度为：226
频繁模式：2,1,3,4,5,6, 支持度为：208
频繁模式：6,4,5,3,2,1, 支持度为：95
频繁模式：6,5,3,4,2,1, 支持度为：96
频繁模式：6,5,4,2,3,1, 支持度为：87
频繁模式：6,5,4,2,1,3, 支持度为：88
频繁模式：6,5,4,3,1,2, 支持度为：186
频繁模式：6,5,4,3,2,1, 支持度为：1527
频繁模式：1,2,3,4,5,6,7, 支持度为：806
频繁模式：1,2,3,4,5,7,6, 支持度为：101
频繁模式：6,7,5,4,3,2,1, 支持度为：133
频繁模式：2,1,3,4,5,6,7, 支持度为：107
频繁模式：7,6,5,4,3,1,2, 支持度为：104
频繁模式：7,6,5,4,3,2,1, 支持度为：973
频繁模式：1,2,3,4,5,6,7,8, 支持度为：546
频繁模式：8,7,6,5,4,3,2,1, 支持度为：642
频繁模式：1,2,3,4,5,6,7,8,9, 支持度为：386
频繁模式：9,8,7,6,5,4,3,2,1, 支持度为：439
频繁模式：1,2,3,4,5,6,7,8,9,10, 支持度为：287
频繁模式：10,9,8,7,6,5,4,3,2,1, 支持度为：304
频繁模式：1,2,3,4,5,6,7,8,9,10,11, 支持度为：221
频繁模式：11,10,9,8,7,6,5,4,3,2,1, 支持度为：216
频繁模式：1,2,3,4,5,6,7,8,9,10,11,12, 支持度为：167
频繁模式：12,11,10,9,8,7,6,5,4,3,2,1, 支持度为：153
频繁模式：1,2,3,4,5,6,7,8,9,10,11,12,13, 支持度为：127
频繁模式：13,12,11,10,9,8,7,6,5,4,3,2,1, 支持度为：112
频繁模式：1,2,3,4,5,6,7,8,9,10,11,12,13,14, 支持度为：98
频繁模式：14,13,12,11,10,9,8,7,6,5,4,3,2,1, 支持度为：81
